,internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb
16,ANIMALSVSANIMALS,Animals vs Animals,/game/animals-vs-animals/,OoiT8set11PqRe90hjADQLlM9UH3nM4FEjDuXTy9SMs%3D,1,305076,0.99,19.99,1,95.047524,0,Positive,84,13,2805620,1709510400,1782407335,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2805620/capsule_231x87.jpg?t=1744483461
17,FALCOTUNES,Falco Tunes,/game/falco-tunes/,B4KDT84Qk4tTkfE3z0CzLBSaXwPbPJ1LEWyfxoinUyE%3D,1,305077,0.99,19.99,1,95.047524,0,Positive,100,12,2930390,1716249600,1782407333,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2930390/capsule_231x87.jpg?t=1744519996
18,FOXGOLF,Fox Golf,/game/fox-golf/,%2BqIJDVTR25MhDQqcAyEKLbkmtU2U2LN5PGSxCOJ7R8E%3D,1,305078,0.99,19.99,1,95.047524,0,Positive,86,15,2833820,1709856000,1782407242,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2833820/capsule_231x87.jpg?t=1712495902
19,BOTMOBILE,BotMobile,/game/botmobile/,JsNVpfDzGMFCkYDQPeKvMLIMG2nBZ0pUW8reXXvMrWg%3D,1,305079,0.99,19.99,1,95.047524,0,Positive,100,10,2805630,1708732800,1782407321,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2805630/capsule_231x87.jpg?t=1742842386
20,MARSROVERSIMULATOR,Mars Rover Simulator,/game/mars-rover-simulator/,res5%2FKNFIg1bqo%2BcoS8e62lqdaT%2F1g9vg25drrQMt0Y%3D,1,310163,0.99,19.99,1,95.047524,0,Mostly Negative,26,23,1877360,1645488000,1781372607,1.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1877360/capsule_231x87.jpg?t=1697152185
21,THEPRESIDENT,The President,/game/the-president/,Q3uYi7J7iH28jbmxomRIxskAnnouan9T1nR4fgcB86k%3D,1,293059,0.99,19.99,1,95.047524,0,Mostly Positive,70,10,1930040,1653609600,1781371933,1.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1930040/capsule_231x87.jpg?t=1747508851
22,LASTGENERATIONSURVIVAL,Last Generation: Survival,/game/last-generation-survival/,Hdbkcyo3dk54SaFKbUcssk1SPS8P2yhpD4gWiQ1U%2FWE%3D,1,322734,0.99,19.99,1,95.047524,0,Mixed,50,20,1595600,1623888000,1781372330,1.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1595600/capsule_231x87.jpg?t=1697152190
23,THEFACTION,The Faction,/game/the-faction/,wU8SRoTTLain5f8fHZ4dn%2B5z7FUt06iJ3gO4cRTaNMY%3D,1,322735,0.99,19.99,1,95.047524,0,Mixed,63,11,2026280,1662076800,1781372389,1.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2026280/capsule_231x87.jpg?t=1747508801
24,THETOWEROFBABEL,The Tower Of Babel,/game/the-tower-of-babel/,tLR40mgW%2FeQM%2Birmj2tM4xuEXgF43VMMEyx4nO3INbc%3D,1,323739,0.99,19.99,1,95.047524,0,,0,0,2762390,1712880000,1781384020,1.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2762390/capsule_231x87.jpg?t=1750114969
25,THEMYTHICALCITY2,The Mythical City 2,/game/the-mythical-city-2/,0nJqB2oqkPFusLULGfH%2Bg2XUl62Bcm7yGBjBf0y99VM%3D,1,324236,0.99,19.99,1,95.047524,0,Mixed,66,15,2999800,1718755200,1780950396,0.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2999800/capsule_231x87.jpg?t=1718806947
26,AGENT01,Agent 01,/game/agent-01/,NexAfA31ftR0%2Ba%2BHWXCZxf1DZbzeheApllqLmqlDJfo%3D,1,324304,0.99,19.99,1,95.047524,0,,0,0,1932490,1651795200,1781408094,1.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1932490/capsule_231x87.jpg?t=1747508829
27,ONLYSTRAIGHTANDUP,Only Straight and Up!,/game/only-straight-and-up/,jNNXJrkaHv30ZFIEoMRCcOYghc2cCU6zr4kappVLBAo%3D,1,324316,0.99,19.99,1,95.047524,0,,0,0,2067030,1733875200,1781484355,1.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2067030/b0b621a52ae562b24b7ba11f5c249a29d2eeb12c/capsule_231x87.jpg?t=1750114507
28,THETHIEF,The Thief,/game/the-thief/,6C8lVLh2ux%2FSj3Ub2ycJipuVPUZHvj1V1pdnkYPWZFk%3D,1,324567,0.99,19.99,1,95.047524,0,,0,0,1897410,1648771200,1781408082,1.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1897410/capsule_231x87.jpg?t=1747508858
29,HACKERMAN,Hacker Man,/game/hacker-man/,CD5rdEQFmxq%2BzED4BGvNKB18MYn9WP5bgq5VKtAoOqs%3D,1,324574,0.99,19.99,1,95.047524,0,,0,0,1957240,1654214400,1781417989,1.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1957240/capsule_231x87.jpg?t=1747508826
30,BATTLEGROUNDSATENEMYGATES,Battlegrounds : At Enemy Gates,/game/battlegrounds-at-enemy-gates/,qqKD%2B7jitWvDaSkkXQAPgt8%2B64iP35p3xfeeCmLUtKY%3D,1,324589,0.99,19.99,1,95.047524,0,,0,0,2599320,1695859200,1781451160,1.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2599320/capsule_231x87.jpg?t=1750115069
31,MILITARYATTACK,Military Attack,/game/military-attack/,fbeSPRi2JHyv5sIUARRgLfTKiNkNwYs7y8d2kZ6ADog%3D,1,324591,0.99,19.99,1,95.047524,0,,0,0,2026290,1662768000,1781452593,1.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2026290/capsule_231x87.jpg?t=1747508710
32,THEKILLER,The Killer,/game/the-killer/,wYIp9FHyOWOozlGBUk2DsAzRZGpAl77N1H6kFJdjJrg%3D,1,324653,0.99,19.99,1,95.047524,0,,0,0,1990280,1724198400,1781574282,1.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1990280/capsule_231x87.jpg?t=1747508811
33,ZACK2CELESTINESMAP,Zack 2: Celestines Map,/game/zack-2-celestines-map/,AhXfFX6oLTimOvq2CyR%2FZATxbt8WxCJdQqErkOJttW8%3D,1,227243,0.99,19.99,1,95.047524,0,,0,0,1218320,1615420800,1782115317,2.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1218320/capsule_231x87.jpg?t=1750114812
34,SPYER,Spyer,/game/spyer/,U%2BZN4Jv8%2B6s%2F4oAoXFFrqUq%2BtuPcerCI2SqAsJezp7c%3D,1,325515,0.99,19.99,1,95.047524,0,,0,0,1957560,1654819200,1782485017,3.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1957560/capsule_231x87.jpg?t=1747508823
35,MYTHICALAGENT,Mythical Agent,/game/mythical-agent/,aTk7o2ugHheyaHcTF3u6x8OGUQ%2FjXWIj7YQ7K5RB9j8%3D,1,325916,0.99,19.99,1,95.047524,0,,0,0,2432630,1687737600,1782905682,3.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2432630/capsule_231x87.jpg?t=1775316802
36,INASEARCHOFANEWHOME,In a search of a new home,/game/in-a-search-of-a-new-home/,%2F1vvuAF%2FImWewH5MLbcrmYZPrLBuUxGcI5ihxYU%2FbV4%3D,1,216324,1.24,24.99,1,95.038015,0,Mixed,54,35,1284510,1590451200,1782409705,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1284510/capsule_231x87.jpg?t=1741196708
37,SPACEROUTE,Space Route,/game/space-route/,8tPyUVKI7sdPR3rfn%2FDorkqx%2BoRNfw8HCWw3JvkYpVE%3D,1,250374,1.24,24.99,1,95.038015,0,Positive,90,11,2063560,1661472000,1782407668,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2063560/capsule_231x87.jpg?t=1662315787
38,LIMBEYONDONEONONEBASKETBALL,LiM Beyond One-on-One Basketball,/game/lim-beyond-one-on-one-basketball/,OpvDfJbpRRWpDdu2s2cXdLAQCtw9nznPKp%2FkEnZrd2o%3D,1,268635,1.24,24.99,1,95.038015,0,Positive,85,14,2410970,1690416000,1782407360,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2410970/capsule_231x87.jpg?t=1762016159
39,NOTAMASTERPECE,Not a Masterpece,,7Gn8d0aJAvit%2BWrrlWVbFIcDfhsQIgoQRBlnyCv4KjU%3D,1,298647,1.24,24.99,1,95.038015,0,Positive,91,12,2898740,0,1782407263,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2898740/capsule_231x87.jpg?t=1744171114
40,MEMORIESOFAVAGABOND,Memories of A Vagabond,/game/memories-of-a-vagabond/,vZVii%2BMDLTSKDqPsQ2QzQUCl2zuybHOT79lR3eHYFRA%3D,1,102988,1.49,29.99,1,95.031677,0,Mostly Positive,77,61,307070,1381276800,1782409136,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/307070/capsule_231x87.jpg?t=1613074136
41,PARTICULA,Particula,/game/particula-2015/,X8Ry0321yg0TikTIPvrAjjknrXD1IOTjxvcWAh9NTsQ%3D,1,141355,1.49,29.99,1,95.031677,0,Mostly Positive,70,644,343360,1422835200,1782409394,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/343360/capsule_231x87.jpg?t=1652177957
42,MASKEDSHOOTERS2,Masked Shooters 2,/game/masked-shooters-2/,NENvUO%2Fn8Y6jjCBxS8KR2qCeZ2PHJm%2BUSdZSCDcg5kk%3D,1,147956,1.49,29.99,1,95.031677,0,Mostly Positive,75,617,434250,1452729600,1782407722,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/434250/capsule_231x87.jpg?t=1768140710
43,NEONSPACE,Neon Space,/game/neon-space/,%2BL8OwNPYtK%2FSaaruoGVf5ORfsCe0CQa2520IA9GdgLA%3D,1,152598,1.49,29.99,1,95.031677,0,Mostly Positive,73,336,468490,1463011200,1782409097,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/468490/capsule_231x87.jpg?t=1696797376
44,SURVIVEINSPACE,Survive in Space,/game/survive-in-space/,PZ1E8yCF1UFLbSKjCPacyMihGKGQEzjw08sTbMKgcjM%3D,1,152845,1.49,29.99,1,95.031677,0,Mixed,68,224,467950,1463702400,1782409693,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/467950/capsule_231x87.jpg?t=1696796899
45,NEONSPACE2,Neon Space 2,/game/neon-space-2/,bb7ihjpuRiffzVzcmjajnygtfPsbg1I7jkMVNmTqwxc%3D,1,155293,1.49,29.99,1,95.031677,0,Mostly Positive,73,268,505210,1469491200,1782409126,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/505210/capsule_231x87.jpg?t=1696796913
46,SPINRUSH,Spin Rush,/game/spin-rush/,MWOIDL3tb9WqPEXUjfM4bmOENpwQiJUH119orjRuZSM%3D,1,158638,1.49,29.99,1,95.031677,0,Mostly Positive,75,360,528660,1473984000,1782409166,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/528660/capsule_231x87.jpg?t=1696797265
47,NEONPRISM,Neon Prism,/game/neon-prism/,d8F19gGK7NndTDRi6jqBvlSiKO5Zw3%2BxIibOO5HDgZI%3D,1,162727,1.49,29.99,1,95.031677,0,Mostly Positive,73,204,556280,1479427200,1782409158,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/556280/capsule_231x87.jpg?t=1696797065
48,DUKEOFALPHACENTAURI,Duke of Alpha Centauri,/game/duke-of-alpha-centauri/,jRm1Y0%2FJPim7aZCHrgB3FIERwXmxBvv2iX0bp7c0vbs%3D,1,164598,1.49,29.99,1,95.031677,0,Mostly Positive,77,321,567580,1482883200,1782409024,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/567580/capsule_231x87.jpg?t=1696796788
49,UPSIDEDOWN,Upside Down,/game/upside-down/,a9nfTjKR7cHPQgtXb0FYjnG8u8sBqkiiGS%2BOfavqUHU%3D,1,166061,1.49,29.99,1,95.031677,0,Very Positive,83,408,586960,1487030400,1782431027,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/586960/capsule_231x87.jpg?t=1696796863
50,CPUINVADERS,CPU Invaders,/game/cpu-invaders/,EN6Cz9ieC18Ritx4WEP8C3JV9Cv2WIrm5%2F7E8taw424%3D,1,166193,1.49,29.99,1,95.031677,0,Very Positive,86,497,595440,1487289600,1782418874,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/595440/capsule_231x87.jpg?t=1648312067
51,HUNGRYFLAME,Hungry Flame,/game/hungry-flame/,VqaYIfEwOv42UJ5%2FZ8HG%2Fsrh6084HJBV2LeuTDZRXaM%3D,1,166942,1.49,29.99,1,95.031677,0,Mixed,68,180,586970,1488931200,1782409645,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/586970/capsule_231x87.jpg?t=1696797270
52,AGENTSOFMAYHEM,Agents of Mayhem,/game/agents-of-mayhem/,9QB5AJK%2FikPz4Z2nW2z0Dnes%2Bz7cHMeaSXLH%2FCd4TWs%3D,1,168736,1.49,29.99,1,95.031677,68,Mixed,60,1810,304530,1502755200,1781802656,7.2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/304530/capsule_231x87.jpg?t=1620292667
53,MASKEDSHOOTERS,Masked Shooters,/game/masked-shooters/,f0HE7inrn%2Bv%2FXWmuPSlFuj1QZhaVfr2cWFuQ0x4c1sI%3D,1,169121,1.49,29.99,1,95.031677,0,Mostly Positive,71,139,603130,1495324800,1782408994,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/603130/capsule_231x87.jpg?t=1768140794
54,SLASHITULTIMATE,Slash It Ultimate,/game/slash-it-ultimate/,Yd1zCCILo2XAA9OcMJKS8iHW%2F8bTo3jiIrk0zT4Ak8M%3D,1,170934,1.49,29.99,1,95.031677,0,Mostly Positive,71,452,656600,1499990400,1782407553,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/656600/capsule_231x87.jpg?t=1696796772
55,MRDUBSTEP,Mr. Dubstep,/game/mr-dubstep/,Hyjqvif4XBOUwCAC6lgIejOJhoVvUZr04AAVoQw7gvo%3D,1,173283,1.49,29.99,1,95.031677,0,Mixed,69,113,654610,1505692800,1782409674,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/654610/capsule_231x87.jpg?t=1696797288
56,CYBERCUBE,Cybercube,/game/cybercube/,%2BHx%2FJbCalHfU3gIqeeoyOsEzX59KK44QG0SbhmAfZPs%3D,1,174004,1.49,29.99,1,95.031677,0,Very Positive,80,162,656880,1507593600,1782418863,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/656880/capsule_231x87.jpg?t=1711286061
57,LEISURESUITLARRYWETDREAMSDONTDRY,Leisure Suit Larry - Wet Dreams Don't Dry,/game/leisure-suit-larry-wet-dreams-dont-dry/,mYUicqd6zdjEncM3KxwoAiNgD6aMqyg9BUB%2BQT%2BK7LQ%3D,1,187410,1.49,29.99,1,95.031677,72,Very Positive,85,1384,765870,1541548800,1782414551,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/765870/capsule_231x87.jpg?t=1728901767
58,SPACEWARS,Space Wars,/game/pc/space-wars,geA6UAC56cztvo3EIE%2BdxDc%2BLzvccekCbeNeQF2EFS0%3D,1,189933,1.49,29.99,1,95.031677,0,Very Positive,87,107,892910,1573257600,1782417100,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1176160/capsule_231x87.jpg?t=1725599911
59,WARHAMMERCHAOSBANE,Warhammer: Chaosbane,/game/warhammer-chaosbane/,kskjIsfmDY%2F89fCnwe1ovpM9XJIHoFNXxDzdrlh9O9I%3D,1,199102,1.49,29.99,1,95.031677,69,Mixed,61,1622,774241,1559260800,1782414298,8.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/774241/capsule_231x87.jpg?t=1778175102
